# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466374.bam" "SRR24466375.bam" "SRR24466376.bam" "SRR24466389.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466374.bam	SRR24466375.bam	SRR24466376.bam	SRR24466389.bam	SRR24466391.bam
YDR338C	IV	1147379	1149466	-	2088	850	916	715	2094	1144
YDR526C	IV	1491075	1491545	-	471	0	4	2	5	2
YDR533C	IV	1501447	1502160	-	714	5200	7434	6379	15717	7967
YDR272W	IV	1009010	1009834	+	825	6660	5752	5132	12426	6428
YDR197W	IV	851228	852397	+	1170	671	760	612	2209	1189
YDR512C	IV	1470500	1471063	-	564	5139	3694	3401	9200	5046
YDR489W	IV	1431012	1431896	+	885	279	286	239	972	610
YDR299W	IV	1059627	1061231	+	1605	580	598	520	1021	661
YDL015C	IV	426002	426934	-	933	9290	10459	8407	20077	10554
YDR304C	IV	1071880	1072557	-	678	12349	12866	10090	24591	11379
YDR271C	IV	1008395	1008766	-	372	5	4	3	5	17
YDL181W	IV	135179	135436	+	258	1394	1467	982	4522	2299
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	2080	2746	2200	3513	2225
YDR085C	IV	614288	616150	-	1863	765	909	545	3028	1108
YDL097C	IV	285391	286695	-	1305	3749	5416	3536	15375	6310
YDL139C	IV	211375	212046	-	672	192	245	188	847	455
YDR200C	IV	854279	856093	-	1815	1871	1696	1679	4114	2358
YDR191W	IV	842337	843449	+	1113	363	369	308	1040	365
YDR451C	IV	1361120	1362181	-	1062	1176	1784	1821	2807	1501
YDR469W	IV	1399015	1399542	+	528	13496	10074	17308	15166	10589
YDR470C	IV	1399706	1401214	-	1509	573	750	543	2603	1330
YDR105C	IV	665349	666770	-	1422	3387	4663	3416	7312	3937
YDR483W	IV	1421157	1422485	+	1329	11030	13838	9772	17819	9910
YDL123W	IV	241418	241840	+	423	366	613	407	1142	643
YDL199C	IV	101290	103353	-	2064	557	666	348	2057	1063
YDR505C	IV	1456695	1459220	-	2526	1992	2810	2051	5769	3168
YDL045W-A	IV	372248	372535	+	288	1094	1719	1337	3796	1904
YDL045C	IV	372688	373608	-	921	1561	2217	1547	4450	2602
YDR361C	IV	1195412	1196263	-	852	906	859	1095	2006	1521
YDR406W-A	IV	1283799	1284044	+	246	9	16	6	41	11
YDR199W	IV	854175	854540	+	366	2	0	4	4	10
YDR266C	IV	1000104	1002023	-	1920	1565	1758	1411	3845	1834
YDL242W	IV	18959	19312	+	354	4	12	1	7	0
YDR002W	IV	453045	453650	+	606	41198	22819	40222	69256	30600
YDR214W	IV	892875	893927	+	1053	12447	14853	9353	55289	15580
YDR130C	IV	715747	716622	-	876	751	937	835	2527	1408
YDL176W	IV	142097	144223	+	2127	1054	1382	1114	2471	1321
YDR358W	IV	1190059	1191732	+	1674	1979	2229	1276	6835	3315
YDR544C	IV	1525095	1525523	-	429	4	4	3	22	2
YDR460W	IV	1383811	1384776	+	966	604	787	553	2489	1330
snR84	IV	1492477	1493026	-	550	1439	1466	2441	1485	1442
YDR034W-B	IV	521314	521469	+	156	912	213	362	963	305
YDL028C	IV	400997	403291	-	2295	1161	1315	1199	2978	1670
YDR061W	IV	574164	575783	+	1620	898	1426	1044	4320	1928
YDR060W	IV	570649	573726	+	3078	2503	2035	2961	3504	2618
YDR169C-A	IV	794574	794723	-	150	6	32	23	45	37
YDR363W	IV	1199183	1200553	+	1371	387	751	520	1454	779
YDR422C	IV	1315326	1317773	-	2448	1723	2539	1622	3151	1742
YDR119W	IV	688227	690533	+	2307	2112	1968	2263	3997	2719
tR(ACG)D	IV	619969	620041	-	73	195	225	117	69	120
YDR097C	IV	640109	643837	-	3729	1135	631	758	2209	1156
YDR042C	IV	540601	541203	-	603	225	78	171	265	112
YDL160C	IV	170410	171930	-	1521	880	1173	923	3938	2374
YDR425W	IV	1320064	1321941	+	1878	1437	1570	2402	3763	1840
snR13	IV	1402919	1403042	+	124	546	475	496	893	1522
YDR228C	IV	921926	923806	-	1881	1374	1282	990	3040	1542
YDR319C	IV	1105003	1105827	-	825	1815	2488	2088	3405	2336
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	46952	23691	49802	70214	37832
YDR089W	IV	622112	624721	+	2610	1154	909	654	3888	1874
tD(GUC)D	IV	568964	569035	+	72	30	24	22	3	27
YDR275W	IV	1012252	1012959	+	708	1373	1544	1035	4115	2038
YDR043C	IV	542674	543369	-	696	5324	2933	2616	10672	4027
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	4821	5714	3763	21929	9616
YDR136C	IV	727711	728283	-	573	12	11	17	55	36
YDL066W	IV	334835	336121	+	1287	8144	11992	13210	25488	18596
YDR302W	IV	1067731	1068390	+	660	2765	1794	2447	3749	2057
YDR239C	IV	941057	943420	-	2364	701	950	712	1472	955
YDR539W	IV	1512094	1513605	+	1512	974	1138	701	3196	1248
tK(CUU)D1	IV	1201750	1201822	+	73	7	2	1	4	6
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	7019	7660	6205	17227	8840
YDR493W	IV	1436217	1436588	+	372	741	674	704	1736	927
YDR101C	IV	655686	657467	-	1782	554	559	680	1388	1011
YDR182W-A	IV	829151	829354	+	204	175	140	100	293	100
YDR212W	IV	887232	888911	+	1680	2658	3004	2745	9911	4459
YDR476C	IV	1410453	1411127	-	675	333	640	515	1997	888
YDL131W	IV	227393	228715	+	1323	3377	4315	5653	13619	8419
YDR458C	IV	1380055	1382046	-	1992	2345	2427	2005	4604	2447
YDR081C	IV	607304	610081	-	2778	799	1295	944	2536	1363
YDL071C	IV	330666	331040	-	375	34	37	20	108	26
YDR113C	IV	680496	681617	-	1122	858	915	791	2780	1655
YDR168W	IV	790328	791848	+	1521	7583	3834	4770	14963	5228
YDR520C	IV	1481085	1483403	-	2319	532	811	589	1629	866
YDR307W	IV	1075865	1077853	+	1989	2051	2608	1645	4133	2301
YDR265W	IV	998864	999877	+	1014	1248	1716	1297	3002	1636
YDL076C	IV	320668	321552	-	885	1225	1385	1076	3779	2198
YDL006W	IV	439909	440754	+	846	1563	1538	1477	3439	1907
YDL086W	IV	301413	302234	+	822	1579	2333	1668	6632	3172
YDR238C	IV	937895	940816	-	2922	2738	3586	2673	9046	4534
YDR077W	IV	600793	601809	+	1017	28908	36208	18800	103331	39983
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	7206	7754	6343	7665	6466
YDL023C	IV	411761	412081	-	321	9	10	7	8	20
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	20040	17215	24985	50935	28075
YDR036C	IV	523211	524713	-	1503	399	646	436	1452	734
YDR057W	IV	565927	567555	+	1629	1730	2024	1572	3434	1754
YDR513W	IV	1471017	1471448	+	432	6473	6646	4075	20623	9563
YDR487C	IV	1428354	1428980	-	627	4982	6425	6420	13869	7448
YDR066C	IV	581908	582498	-	591	773	336	588	1170	518
YDR352W	IV	1181801	1182754	+	954	1361	1880	1476	2522	1598
YDR278C	IV	1017001	1017318	-	318	96	70	40	45	103
YDR079C-A	IV	603593	603811	-	219	11116	9752	11273	6624	7275
YDR204W	IV	858137	859144	+	1008	821	1392	850	3740	1732
YDL247W-A	IV	3762	3836	+	75	33	19	30	33	18
YDL024C	IV	408451	409857	-	1407	37	95	54	176	74
tA(AGC)D	IV	410379	410451	+	73	1	1	2	0	1
YDR109C	IV	673520	675667	-	2148	698	912	716	1914	957
YDR466W	IV	1395121	1397817	+	2697	939	1289	924	2839	1348
YDR427W	IV	1322205	1323386	+	1182	4553	4854	4062	13971	5189
YDL044C	IV	373967	375289	-	1323	609	611	553	1510	779
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	90	90	35	940	822
YDR193W	IV	844554	844952	+	399	1	4	0	2	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	2284	2087	2061	3418	1967
YDR377W	IV	1228611	1228916	+	306	27741	20410	27167	37964	19564
YDR219C	IV	905455	906852	-	1398	1131	1321	1025	3672	2073
YDR416W	IV	1298432	1301011	+	2580	1244	1325	1486	2893	1560
YDR365C	IV	1204497	1206383	-	1887	3197	3439	3423	9103	4500
YDL233W	IV	36797	38173	+	1377	366	521	437	1875	848
YDR287W	IV	1035995	1036873	+	879	694	1096	648	2668	1452
YDR448W	IV	1356065	1357369	+	1305	744	721	622	2030	1082
YDR180W	IV	821295	825776	+	4482	534	973	614	1245	939
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	21	12	21	15	20
tT(AGU)D	IV	434264	434336	-	73	5	6	7	3	9
YDR294C	IV	1050459	1052228	-	1770	3951	5873	4083	8978	4180
YDR198C	IV	852533	853972	-	1440	552	639	526	1066	539
YDL163W	IV	166956	167258	+	303	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	602	752	586	1618	980
YDR501W	IV	1451353	1452918	+	1566	490	525	404	1167	720
YDL214C	IV	74446	76545	-	2100	185	110	40	942	432
YDR264C	IV	996029	998323	-	2295	6247	11165	8110	10963	6604
YDR343C	IV	1159608	1161320	-	1713	203	528	218	4295	3146
YDR373W	IV	1222759	1223331	+	573	15408	6969	12726	19001	7922
YDR354W	IV	1184747	1185889	+	1143	2765	3416	4895	8755	5776
YDR246W	IV	954288	954947	+	660	635	1010	731	3659	1989
YDR428C	IV	1323454	1324239	-	786	344	405	340	1072	633
YDR157W	IV	769931	770332	+	402	16	3	21	30	13
YDR316W	IV	1093763	1095178	+	1416	794	1111	714	2049	1164
YDL142C	IV	201719	202570	-	852	1029	1153	874	2626	1409
YDR253C	IV	963990	964565	-	576	1578	1065	502	3053	1177
YDL112W	IV	258915	263225	+	4311	1087	1221	1276	2334	1245
YDR545W	IV	1526321	1531711	+	5391	7	10	10	10	8
YDL187C	IV	125509	125838	-	330	33	37	52	139	73
YDL138W	IV	213351	215642	+	2292	875	1298	907	1866	844
YDR528W	IV	1494586	1495857	+	1272	425	537	414	896	337
YDR284C	IV	1030550	1031419	-	870	2716	3609	2400	6878	3329
YDR050C	IV	555726	556472	-	747	70783	118233	88489	286083	132636
YDL010W	IV	432330	433025	+	696	2863	3702	2142	4098	2566
YDL065C	IV	336249	337277	-	1029	1299	1685	1237	3904	2160
YDR349C	IV	1172386	1174176	-	1791	2627	3833	3132	5285	2884
YDL098C	IV	284581	285165	-	585	1269	976	872	2244	1092
YDL234C	IV	34237	36477	-	2241	1887	2351	1556	6302	2923
YDR118W	IV	685882	687840	+	1959	774	713	682	1722	1013
YDR118W-A	IV	687768	687884	+	117	6	11	19	28	5
YDR159W	IV	771877	775782	+	3906	1098	1527	1172	2580	1540
YDR111C	IV	678241	679764	-	1524	1162	1370	1347	3096	1981
YDR128W	IV	709549	712995	+	3447	811	1170	788	2542	1183
YDL034W	IV	391783	392127	+	345	0	0	0	4	0
YDR065W	IV	580687	581784	+	1098	316	638	408	871	603
YDL004W	IV	443029	443511	+	483	2963	3660	2854	11064	5367
YDR024W	IV	491017	491502	+	486	64	37	111	210	149
YDL171C	IV	149203	155640	-	6438	7156	9747	8092	18264	7841
YDR083W	IV	612073	613251	+	1179	539	446	485	929	766
YDR457W	IV	1369790	1379596	+	9807	4078	10329	4994	9203	4645
YDR014W	IV	474046	475989	+	1944	348	505	396	830	563
YDR206W	IV	862054	864708	+	2655	1833	2154	2412	4167	2419
YDR478W	IV	1414575	1415171	+	597	696	449	987	1378	811
YDR169C	IV	792348	793889	-	1542	990	1673	1231	3662	1927
YDR115W	IV	682175	682492	+	318	2587	1800	2119	5120	2648
YDL159W-A	IV	172182	172313	+	132	0	0	0	2	0
YDL232W	IV	38487	38597	+	111	2927	2799	3015	7749	3806
YDL240C-A	IV	22471	22608	-	138	0	0	1	0	0
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	0	0	0	2
YDR432W	IV	1328783	1330027	+	1245	1268	1868	1555	8462	4461
YDL022C-A	IV	409808	410056	-	249	3	2	0	9	2
YDL114W-A	IV	254935	255048	+	114	3	4	5	5	8
YDR410C	IV	1292372	1293091	-	720	2491	2861	2507	4420	2271
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	6621	10140	5419	13947	6852
YDR053W	IV	560249	560644	+	396	21	14	17	14	8
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	1176	2294	1966	5050	2526
YDR482C	IV	1420431	1420838	-	408	353	452	405	1115	613
YDL070W	IV	331024	332940	+	1917	34048	80448	54220	41061	29373
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	30143	40575	42692	102504	68218
YDL135C	IV	218680	219288	-	609	2930	2319	2104	7301	3698
YDL077C	IV	316971	320120	-	3150	874	1094	724	2094	1181
YDR354C-A	IV	1185139	1185282	-	144	0	2	2	10	1
YDL033C	IV	392659	393912	-	1254	183	333	321	1018	389
YDL031W	IV	394217	397204	+	2988	642	760	784	1540	1086
YDR398W	IV	1267471	1269402	+	1932	506	665	797	1491	1057
YDR326C	IV	1120609	1124925	-	4317	7012	6547	5812	4984	3465
YDL052C	IV	362672	363583	-	912	4457	5882	4378	10731	5060
YDR536W	IV	1508005	1509714	+	1710	41	35	37	88	92
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	1914	2390	1926	3808	2888
YDL116W	IV	251566	253746	+	2181	1690	1706	1573	4482	2230
YDR028C	IV	497835	500879	-	3045	2581	3357	2475	7216	3370
YDL007W	IV	438047	439360	+	1314	7953	11891	7063	19723	8332
YDR236C	IV	935236	935892	-	657	2990	2927	2826	4261	2347
YDR011W	IV	465919	470424	+	4506	4834	4557	5212	11564	4570
YDR155C	IV	768512	769000	-	489	11878	15682	11148	50721	21946
YDR414C	IV	1295598	1296686	-	1089	1113	1268	1191	1996	1238
YDR026C	IV	492556	494268	-	1713	1006	1483	1297	2771	1421
YDL073W	IV	326613	329567	+	2955	1590	2195	1770	2942	1617
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	22	16	28	39	21
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	2300	3314	2459	6610	3731
YDL145C	IV	194571	198176	-	3606	4396	5127	4188	12937	6095
YDR203W	IV	857682	857999	+	318	3	9	3	35	4
YDL104C	IV	273653	274876	-	1224	221	385	412	776	436
YDL149W	IV	184925	187918	+	2994	704	1317	627	1934	1223
YDR231C	IV	926293	926910	-	618	1692	2282	1676	4866	2154
YDR045C	IV	547978	548310	-	333	7820	3477	8560	7765	5115
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	22769	27192	28181	66972	39515
YDR415C	IV	1297037	1298161	-	1125	1628	1950	1526	3578	2129
YDR339C	IV	1149951	1150520	-	570	1315	1341	1327	3149	1819
YDL213C	IV	77289	77966	-	678	869	894	1176	2381	1751
YDR096W	IV	637139	639823	+	2685	1777	2143	1117	7254	3375
YDL019C	IV	417663	421514	-	3852	2857	3041	2232	8686	3826
YDL022W	IV	411825	413000	+	1176	11010	8911	6246	47142	23018
YDR413C	IV	1294836	1295411	-	576	2	1	5	2	0
YDR391C	IV	1257358	1258056	-	699	783	1504	741	2985	2089
YDR091C	IV	626708	628534	-	1827	1349	1634	1507	4423	3400
YDR240C	IV	943674	945152	-	1479	517	540	553	1214	636
YDL244W	IV	16204	17226	+	1023	16	18	18	91	68
YDR179C	IV	818708	819196	-	489	11898	7561	11815	6805	7214
YDL165W	IV	164290	164865	+	576	1340	1390	1350	3608	1571
YDL140C	IV	205360	210561	-	5202	3901	6711	3848	10678	5063
YDR120C	IV	691549	693261	-	1713	939	987	1110	2081	1677
YDR003W	IV	454122	454754	+	633	1759	2141	1467	5343	2253
YDR499W	IV	1447830	1450073	+	2244	1301	1193	1050	2566	1378
YDR166C	IV	786306	789221	-	2916	1313	2236	1571	3798	2393
YDL092W	IV	292781	293221	+	441	2243	2046	1965	5810	2676
YDL041W	IV	378102	378455	+	354	2	5	6	6	3
YDL241W	IV	20635	21006	+	372	29	69	57	159	184
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	9542	10781	12352	25146	18181
YDR277C	IV	1014401	1015702	-	1302	472	1925	614	7468	3898
YDR291W	IV	1039728	1042961	+	3234	727	1191	936	1906	1139
YDR475C	IV	1407464	1410094	-	2631	1680	3356	2302	6210	2655
YDR244W	IV	950563	952401	+	1839	783	1008	708	3475	1498
YDR407C	IV	1284069	1287938	-	3870	2002	2130	1746	4190	2036
YDR382W	IV	1239492	1239824	+	333	20436	21948	26143	49251	33059
YDR102C	IV	657648	657980	-	333	14	14	12	16	7
YDL188C	IV	123865	124998	-	1134	1989	2074	1616	4836	2969
YDR405W	IV	1277646	1278437	+	792	528	745	558	3039	1457
YDR443C	IV	1345676	1349938	-	4263	542	971	573	1984	964
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	758	1176	739	2657	1598
YDR144C	IV	744311	746101	-	1791	1549	1408	1408	2423	1678
YDL157C	IV	174232	174588	-	357	9874	5644	11620	10937	6837
YDL058W	IV	345665	351037	+	5373	1997	3102	1652	4655	1790
YDL096C	IV	286998	287324	-	327	0	4	2	0	0
YDL155W	IV	176773	178056	+	1284	937	1131	946	3085	1650
YDR147W	IV	751631	753235	+	1605	1291	1200	872	3611	1335
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	22068	17939	22988	27883	18819
YDL128W	IV	232652	233887	+	1236	7094	8992	7059	12662	7154
YDR310C	IV	1081128	1084316	-	3189	1816	2152	1795	4649	2475
YDL160C-A	IV	169366	169608	-	243	2388	2073	2664	3015	1830
YDR127W	IV	704484	709250	+	4767	8508	11574	11951	24289	12941
YDR497C	IV	1443713	1445467	-	1755	25553	23033	15313	67856	25200
YDL162C	IV	167359	167715	-	357	9	4	3	5	0
tS(AGA)D3	IV	1305630	1305712	+	83	5	11	14	3	20
YDR201W	IV	856317	856814	+	498	1753	1212	1693	2794	1675
YDR163W	IV	781423	781950	+	528	3325	2151	3268	3753	2229
YDL146W	IV	192750	194225	+	1476	1601	1912	1369	4101	2601
YDR363W-A	IV	1202128	1202397	+	270	27399	20102	22139	32587	15779
YDL221W	IV	62011	62562	+	552	9	20	4	34	16
YDL089W	IV	296820	298274	+	1455	1832	2294	1444	3071	1706
YDR385W	IV	1243230	1245758	+	2529	6831	7949	10031	33304	15026
YDR331W	IV	1129588	1130823	+	1236	1943	2638	2242	4043	2368
YDR196C	IV	850274	850999	-	726	5358	4165	4660	8126	4221
YDR116C	IV	682724	683581	-	858	846	1138	834	3905	2126
YDR001C	IV	450220	452475	-	2256	3926	5188	2921	18501	7976
YDL230W	IV	42700	43707	+	1008	521	729	502	2360	1096
YDR160W	IV	776163	778721	+	2559	1412	1755	1502	3047	1678
YDR123C	IV	698554	699468	-	915	159	176	121	805	274
YDR322W	IV	1110589	1111692	+	1104	688	929	713	3139	1507
YDR040C	IV	535192	538467	-	3276	403	554	359	872	551
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	10938	13138	15615	33166	19299
YDR046C	IV	548762	550576	-	1815	9169	18372	19951	17649	20013
YDL057W	IV	351434	352420	+	987	340	461	332	1210	596
YDL248W	IV	1802	2953	+	1152	531	1026	683	1406	800
YDR008C	IV	462252	462602	-	351	27	17	18	103	60
YDR029W	IV	501100	501414	+	315	8	3	6	10	1
YDR485C	IV	1424820	1427207	-	2388	1090	2023	1290	3201	1756
YDR408C	IV	1288215	1288859	-	645	2632	2902	3017	11218	5196
YDR038C	IV	527422	530697	-	3276	242	346	310	508	353
YDL204W	IV	94605	95786	+	1182	1139	1343	410	3940	1759
YDR019C	IV	484163	485365	-	1203	3348	2484	2023	16492	6201
YDR477W	IV	1412373	1414274	+	1902	3558	4455	3353	7943	5309
YDR254W	IV	965113	966489	+	1377	1233	1129	1047	2268	1550
YDR514C	IV	1471548	1472999	-	1452	378	511	411	968	400
YDR296W	IV	1055212	1055892	+	681	784	1109	954	4392	1895
YDL216C	IV	68997	70319	-	1323	676	833	618	2243	1175
YDL100C	IV	282112	283176	-	1065	4020	4712	3823	16663	6579
YDL068W	IV	333500	333829	+	330	58	39	42	68	38
YDL026W	IV	404749	405060	+	312	4	4	5	13	2
YDL124W	IV	240259	241197	+	939	8291	9769	5007	33824	10932
YDL227C	IV	46271	48031	-	1761	724	719	940	1607	1649
YDL111C	IV	263313	264110	-	798	1076	1278	1200	3150	1784
YDR324C	IV	1114433	1116763	-	2331	1119	1120	1366	2178	1582
YDL170W	IV	156318	157904	+	1587	3355	4849	5437	8728	5618
YDR317W	IV	1102184	1103428	+	1245	42	52	46	61	34
YDR436W	IV	1334821	1336953	+	2133	1350	1664	1065	3211	1860
YDR208W	IV	868224	870563	+	2340	1797	2177	1753	5491	2573
YDR386W	IV	1246084	1247982	+	1899	619	916	767	1725	1016
YDR504C	IV	1456311	1456694	-	384	393	307	315	763	312
YDL220C	IV	62244	65018	-	2775	276	417	348	632	393
YDR396W	IV	1266295	1266795	+	501	7	16	10	12	10
YDR258C	IV	971808	974243	-	2436	39975	34957	19485	178340	34178
YDR176W	IV	814452	816560	+	2109	2721	3200	2610	6707	3510
YDL099W	IV	283419	284444	+	1026	1476	2138	1615	5810	2921
YDR380W	IV	1234218	1236125	+	1908	13	22	18	156	23
YDL110C	IV	264512	264964	-	453	1608	1649	915	7197	3188
YDR148C	IV	753675	755066	-	1392	1854	2468	1468	7425	3280
YDL201W	IV	99561	100421	+	861	463	473	457	1102	941
YDL107W	IV	268921	269976	+	1056	511	879	659	1637	1082
YDR515W	IV	1473429	1474772	+	1344	942	1089	754	2178	932
YDR133C	IV	720962	721297	-	336	4900	2720	2535	35338	19246
YDR378C	IV	1229349	1229609	-	261	22425	15401	21997	21761	15326
YDR473C	IV	1404445	1405854	-	1410	963	1070	994	2215	1245
YDR403W	IV	1274602	1276212	+	1611	361	399	422	492	219
YDR268W	IV	1004004	1005143	+	1140	381	618	505	1565	760
YDR409W	IV	1289406	1292120	+	2715	757	1079	729	2550	1164
YDR173C	IV	810565	811632	-	1068	1021	922	739	2806	1184
YDR187C	IV	836228	836746	-	519	0	0	0	0	2
YDR389W	IV	1252537	1254501	+	1965	1312	1834	1378	3347	1615
YDR417C	IV	1301555	1301926	-	372	6	8	8	11	5
YDR165W	IV	784871	786205	+	1335	848	767	965	1740	1804
YDL113C	IV	256633	258555	-	1923	3236	2883	2457	6368	3159
YDR426C	IV	1321629	1322006	-	378	34	18	22	65	113
YDR521W	IV	1483141	1483476	+	336	4	4	0	1	2
YDR086C	IV	616928	617170	-	243	11990	9696	9831	23122	11523
YDL021W	IV	413953	414888	+	936	1935	5991	1555	9477	2994
YDR023W	IV	489508	490896	+	1389	6811	7447	7616	20506	10845
YDR394W	IV	1261681	1262967	+	1287	2220	3476	2124	9934	3973
YDR320C-A	IV	1108280	1108498	-	219	32222	22268	29348	18009	18059
YDR003W-A	IV	454782	454904	+	123	682	686	470	1745	648
YDR183W	IV	829585	830277	+	693	613	699	553	1679	878
YDR245W	IV	952800	953981	+	1182	5878	5816	5273	8846	5541
YDR431W	IV	1328390	1328701	+	312	4	0	0	3	0
YDL154W	IV	178334	181039	+	2706	443	313	206	936	362
YDL184C	IV	130407	130484	-	78	411471	331090	401835	218115	258017
YDR153C	IV	766736	767971	-	1236	980	1227	714	3384	1659
YDR014W-A	IV	477797	478285	+	489	46	51	48	99	26
YDR434W	IV	1331237	1332841	+	1605	4421	4904	3906	7091	3481
YDL002C	IV	446967	447578	-	612	3273	3011	3181	5081	3270
YDR225W	IV	915530	915928	+	399	17317	13514	23052	43622	26878
YDR418W	IV	1301616	1302113	+	498	20177	22322	23320	55121	34197
YDR224C	IV	914317	914712	-	396	12780	15259	16104	31030	26781
YDR502C	IV	1453310	1454464	-	1155	8945	8400	3921	55671	18038
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	176301	83134	197260	158629	113603
YDL039C	IV	381985	384081	-	2097	198	1085	770	1247	724
YDL225W	IV	52445	54100	+	1656	1461	1723	1293	4822	2528
YDR259C	IV	974631	975782	-	1152	451	382	267	1117	349
YDR495C	IV	1438115	1441150	-	3036	809	1067	716	2163	1121
YDL151C	IV	183318	183899	-	582	0	0	0	0	0
YDR357C	IV	1189199	1189567	-	369	17891	13059	14066	11675	8864
YDR370C	IV	1217782	1219110	-	1329	891	985	915	2277	1264
YDR298C	IV	1058176	1058814	-	639	2296	2786	2189	7898	4233
YDR276C	IV	1013476	1013643	-	168	11759	17186	11640	41034	25372
YDL185C-A	IV	126608	126835	-	228	0	0	0	0	0
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0	0
tM(CAU)D	IV	1175829	1175901	+	73	20	9	7	3	8
YDL247W	IV	5985	7814	+	1830	13	10	4	39	21
YDR406W	IV	1279210	1283799	+	4590	952	1068	670	3490	1402
YDR273W	IV	1010176	1011273	+	1098	275	277	209	772	306
YDR269C	IV	1005665	1005988	-	324	0	0	2	3	0
YDR453C	IV	1365072	1365662	-	591	523	603	524	1856	890
YDR383C	IV	1239960	1240676	-	717	1365	1264	1177	2925	1711
YDR375C	IV	1225166	1226536	-	1371	628	1086	844	2891	1564
YDL161W	IV	167714	169078	+	1365	1737	2424	1742	5819	2979
YDL051W	IV	363952	364779	+	828	2985	2261	3847	7184	4331
YDR084C	IV	613405	614004	-	600	2156	3319	2126	4559	2686
YDL056W	IV	352877	355378	+	2502	1688	1988	1524	4646	2131
YDR344C	IV	1162006	1162449	-	444	62	71	52	176	102
YDR320C	IV	1106095	1108101	-	2007	545	845	597	2432	1347
YDR221W	IV	907330	909438	+	2109	1522	2803	1814	3170	1849
tI(AAU)D	IV	668007	668080	-	74	3	0	4	2	2
